en,zh,fr,de,ru,zh_to_en_prob,en_to_zh_prob,en_to_fr_prob,fr_to_en_prob,en_to_de_prob,de_to_en_prob,en_to_ru_prob,ru_to_en_prob
▁I,我,▁je,▁ich,▁я,0.7426758,0.96484375,0.76416016,0.90478516,0.71240234,0.9555664,0.8876953,0.8334961
▁all,全,▁tous,▁alle,▁все,0.31689453,0.6948242,0.73828125,0.85302734,0.7236328,0.93603516,0.8027344,0.7832031
▁and,和,▁et,▁und,▁и,0.63378906,0.52246094,0.9770508,0.95996094,0.89697266,0.98291016,0.98046875,0.7871094
▁base,基,▁base,▁Bas,▁основа,0.3232422,0.91845703,0.8613281,0.45898438,0.36499023,0.39282227,0.5449219,0.3540039
▁best,最,▁meilleur,▁best,▁луч,0.4572754,0.9560547,0.7675781,0.62841797,0.47460938,0.9042969,0.90527344,0.79003906
▁big,大,▁grand,▁groß,▁боль,0.6894531,0.9897461,0.7290039,0.43969727,0.56152344,0.61572266,0.9736328,0.55810547
▁book,书,▁livre,▁Buch,▁кни,0.8544922,0.95214844,0.97802734,0.96191406,0.98339844,0.9746094,0.98291016,0.8334961
▁city,城,▁ville,▁Stadt,▁город,0.7949219,0.9589844,0.95996094,0.5180664,0.9794922,0.67626953,0.98583984,0.6660156
▁day,日,▁jour,▁Tag,▁день,0.7910156,0.71484375,0.9614258,0.97558594,0.984375,0.9785156,0.99560547,0.97558594
▁death,死,▁mort,▁Tod,▁смер,0.44091797,0.97216797,0.6152344,0.69189453,0.88623047,0.9560547,0.9897461,0.7084961
▁edge,边,▁bord,▁Rand,▁край,0.43774414,0.76416016,0.9301758,0.43286133,0.62890625,0.65771484,0.41137695,0.72216797
▁electric,电,▁élect,▁elektr,▁элект,0.8076172,0.98535156,0.97314453,0.5385742,0.85058594,0.63134766,0.98291016,0.58740234
▁family,家,▁famille,▁Familie,▁сем,0.4206543,0.97998047,0.9716797,0.98291016,0.98876953,0.9897461,0.98095703,0.36132812
▁field,田,▁champ,▁Feld,▁поле,0.6894531,0.81640625,0.93603516,0.76953125,0.9238281,0.94970703,0.89160156,0.9477539
▁five,五,▁cinq,▁fünf,▁пя,0.9199219,0.9785156,0.98583984,0.97753906,0.7885742,0.9790039,0.9355469,0.8979492
▁four,四,▁quatre,▁vier,▁четы,0.91796875,0.98876953,0.9770508,0.98095703,0.90625,0.9736328,0.8833008,0.94091797
▁group,群,▁groupe,▁Gruppe,▁груп,0.53027344,0.60791016,0.93115234,0.9580078,0.9555664,0.9814453,0.97558594,0.8203125
▁hand,手,▁main,▁Hand,▁ру,0.9165039,0.9892578,0.94384766,0.71777344,0.9477539,0.97998047,0.92529297,0.36279297
▁he,他,▁il,▁er,▁он,0.671875,0.9453125,0.89453125,0.6635742,0.9399414,0.8935547,0.97314453,0.93066406
▁high,高,▁haut,▁hoch,▁высо,0.6113281,0.9560547,0.9111328,0.7529297,0.61328125,0.8623047,0.95751953,0.7182617
▁king,王,▁roi,▁König,▁цар,0.77197266,0.85791016,0.94677734,0.9604492,0.98339844,0.95654297,0.77197266,0.5776367
▁language,语,▁langue,▁Sprache,▁язы,0.51171875,0.9814453,0.8378906,0.76464844,0.96484375,0.92822266,0.9785156,0.5541992
▁man,男,▁homme,▁Mann,▁муж,0.96484375,0.9746094,0.9916992,0.98535156,0.9926758,0.99316406,0.9682617,0.96533203
▁mother,母,▁mère,▁Mutter,▁ма,0.7270508,0.6254883,0.6567383,0.7451172,0.89501953,0.75878906,0.8930664,0.41577148
▁near,近,▁près,▁nahe,▁бли,0.578125,0.92041016,0.5444336,0.80859375,0.51220703,0.7709961,0.49365234,0.52246094
▁new,新,▁nouveau,▁neu,▁нов,0.87890625,0.9951172,0.9111328,0.9511719,0.5415039,0.9638672,0.7783203,0.83154297
▁north,北,▁nord,▁Norden,▁север,0.7602539,0.99560547,0.8876953,0.9248047,0.56933594,0.85595703,0.84716797,0.88183594
▁not,不,▁pas,▁nicht,▁не,0.46411133,0.69873047,0.6875,0.53808594,0.8808594,0.7871094,0.9682617,0.625
▁one,一,▁un,▁ein,▁один,0.93847656,0.9453125,0.9448242,0.7910156,0.50341797,0.60791016,0.8027344,0.98095703
▁or,或,▁ou,▁oder,▁или,0.8256836,0.9169922,0.9604492,0.59814453,0.74658203,0.9658203,0.8432617,0.8823242
▁research,研,▁recherche,▁Forsch,▁исследова,0.37475586,0.92041016,0.8305664,0.45654297,0.80322266,0.6333008,0.92089844,0.39013672
▁science,科,▁science,▁Wissenschaft,▁нау,0.6459961,0.9277344,0.8886719,0.9501953,0.87353516,0.9536133,0.9555664,0.61865234
▁seven,七,▁sept,▁sieben,▁сем,0.6401367,0.74609375,0.47216797,0.57666016,0.58691406,0.6855469,0.68896484,0.35791016
▁six,六,▁six,▁sechs,▁ше,0.8886719,0.9589844,0.98583984,0.97509766,0.6694336,0.97753906,0.94921875,0.72021484
▁song,歌,▁chanson,▁Lied,▁пес,0.72558594,0.9394531,0.9223633,0.9477539,0.79003906,0.95703125,0.97021484,0.43310547
▁street,街,▁rue,▁Straße,▁ули,0.77685547,0.8510742,0.9555664,0.87060547,0.81884766,0.83691406,0.94189453,0.48413086
▁system,系,▁système,▁System,▁система,0.57910156,0.93066406,0.95703125,0.9609375,0.9770508,0.9506836,0.90527344,0.97021484
▁this,这,▁ce,▁dies,▁это,0.8486328,0.8671875,0.43823242,0.6152344,0.37426758,0.69091797,0.6098633,0.65283203
▁three,三,▁trois,▁drei,▁три,0.5839844,0.8198242,0.78515625,0.76220703,0.7871094,0.5913086,0.82714844,0.63671875
▁time,时,▁temps,▁Zeit,▁время,0.8540039,0.97216797,0.86572266,0.94189453,0.89501953,0.9819336,0.99072266,0.96875
▁two,二,▁deux,▁zwei,▁два,0.8178711,0.5361328,0.9868164,0.9638672,0.8652344,0.97314453,0.82421875,0.9794922
▁village,村,▁village,▁Dorf,▁деревня,0.9355469,0.95996094,0.9770508,0.95214844,0.92333984,0.9477539,0.72216797,0.9741211
▁woman,女,▁femme,▁Frau,▁женщи,0.73828125,0.8564453,0.6538086,0.57666016,0.87402344,0.5336914,0.5932617,0.8222656
▁year,年,▁année,▁Jahr,▁год,0.7602539,0.9814453,0.76904297,0.96484375,0.96728516,0.97998047,0.96972656,0.9580078
▁you,你,▁vous,▁du,▁ты,0.93652344,0.9472656,0.47998047,0.93115234,0.47998047,0.9169922,0.75146484,0.92578125
